country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","02-07-2026 14:00:00",25.610369,85.132568,PM10,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","02-07-2026 14:00:00",25.610369,85.132568,OZONE,59,60,60
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","02-07-2026 14:00:00",25.366336,87.117468,NO2,4,6,6
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","02-07-2026 14:00:00",25.0328,85.41948,PM10,NA,NA,NA
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","02-07-2026 14:00:00",25.892357,86.590325,NH3,NA,NA,NA
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","02-07-2026 14:00:00",25.859655,85.77944,PM2.5,NA,NA,NA
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","02-07-2026 14:00:00",25.859655,85.77944,SO2,NA,NA,NA
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","02-07-2026 14:00:00",25.859655,85.77944,OZONE,8,8,8
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","02-07-2026 14:00:00",26.2271665,84.3570427,PM10,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","02-07-2026 14:00:00",26.2271665,84.3570427,OZONE,9,14,12
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","02-07-2026 14:00:00",30.751462,76.762879,PM10,29,67,47
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","02-07-2026 14:00:00",30.751462,76.762879,CO,17,30,21
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","02-07-2026 14:00:00",30.751462,76.762879,OZONE,11,29,19
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","02-07-2026 14:00:00",30.719859,76.738637,PM10,8,26,18
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","02-07-2026 14:00:00",30.719859,76.738637,NH3,18,23,19
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","02-07-2026 14:00:00",21.194815,81.31477,PM2.5,9,25,18
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","02-07-2026 14:00:00",26.987634,94.636574,NO2,6,14,10
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","02-07-2026 14:00:00",26.146529,87.454184,PM2.5,40,107,53
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","02-07-2026 14:00:00",24.75746,84.366208,OZONE,6,7,6
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","02-07-2026 14:00:00",25.42742023,86.13886079,NH3,15,17,16
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","02-07-2026 14:00:00",25.42742023,86.13886079,CO,3,19,13
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","02-07-2026 14:00:00",26.80365,84.51954,PM2.5,NA,NA,NA
